"","type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","weekday","hour","date","accidents"
"42869","Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2684444,1247173,"Tuesday","07h-08h",2020-01-01,1
"42870",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2681422,1242772,"Tuesday","09h-10h",2020-01-01,1
"42871","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2684697,1247788,"Tuesday","10h-11h",2020-01-01,1
"42872","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684978,1246378,"Tuesday","10h-11h",2020-01-01,1
"42873","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683950,1246420,"Tuesday","11h-12h",2020-01-01,1
"42874",NA,"Property damage",FALSE,FALSE,FALSE,"Minor road",2679131,1249097,"Tuesday","11h-12h",2020-01-01,1
"42875","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684155,1251169,"Tuesday","12h-13h",2020-01-01,1
"42876",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2683850,1247181,"Tuesday","13h-14h",2020-01-01,1
"42877","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2680711,1250706,"Tuesday","16h-17h",2020-01-01,1
"42878","Turning-into main road","Light injuries",FALSE,FALSE,FALSE,"Minor road",2682995,1251535,"Tuesday","18h-19h",2020-01-01,1
"42879",NA,"Property damage",FALSE,FALSE,FALSE,"Principal road",2683887,1251504,"Tuesday","18h-19h",2020-01-01,1
"42880","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682289,1248018,"Tuesday","18h-19h",2020-01-01,1
"42881","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682309,1248174,"Tuesday","19h-20h",2020-01-01,1
"42882","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683559,1250747,"Tuesday","19h-20h",2020-01-01,1
"42883","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683102,1247902,"Tuesday","20h-21h",2020-01-01,1
"42884","Head-on collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2684060,1245682,"Tuesday","20h-21h",2020-01-01,1
"42885","Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682128,1248062,"Tuesday","21h-22h",2020-01-01,1
"42886","Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682951,1246945,"Tuesday","21h-22h",2020-01-01,1
"42887","Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2685191,1246590,"Wednesday","08h-09h",2020-01-01,1
"42888","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2684587,1245376,"Wednesday","08h-09h",2020-01-01,1
"42889","Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2681916,1249630,"Wednesday","10h-11h",2020-01-01,1
"42890","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Principal road",2681540,1248966,"Wednesday","10h-11h",2020-01-01,1
"42891","Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Principal road",2682071,1249905,"Wednesday","11h-12h",2020-01-01,1
