"type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","year","month","month_name","weekday","weekday_name","hour"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Principal road",2683851,1247187,2020,1,"January",3,"Wednesday","22h-23h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2680421,1253162,2020,1,"January",3,"Wednesday","23h-00h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2680998,1253835,2020,1,"January",4,"Thursday","07h-08h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2684591,1246355,2020,1,"January",4,"Thursday","08h-09h"
"Accident involving pedestrian(s)","Severe injuries",FALSE,TRUE,FALSE,"Minor road",2682167,1248033,2020,1,"January",4,"Thursday","08h-09h"
"Turning left or right","Light injuries",FALSE,TRUE,FALSE,"Minor road",2682369,1247425,2020,1,"January",4,"Thursday","09h-10h"
"Skidding or self-accident","Property damage",FALSE,TRUE,FALSE,"Minor road",2682641,1247875,2020,1,"January",4,"Thursday","09h-10h"
"Parking","Light injuries",FALSE,FALSE,FALSE,"Minor road",2679823,1250756,2020,1,"January",4,"Thursday","09h-10h"
"Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2679351,1249389,2020,1,"January",4,"Thursday","10h-11h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684214,1253498,2020,1,"January",4,"Thursday","12h-13h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2686177,1251409,2020,1,"January",4,"Thursday","13h-14h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683236,1252078,2020,1,"January",4,"Thursday","14h-15h"
"Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2683558,1250020,2020,1,"January",4,"Thursday","15h-16h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2683815,1252832,2020,1,"January",4,"Thursday","15h-16h"
"Skidding or self-accident","Light injuries",FALSE,FALSE,FALSE,"Motorway",2680273,1253506,2020,1,"January",4,"Thursday","15h-16h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2679797,1248147,2020,1,"January",4,"Thursday","15h-16h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2683525,1252193,2020,1,"January",4,"Thursday","16h-17h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683523,1247790,2020,1,"January",4,"Thursday","16h-17h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Other",2678769,1249762,2020,1,"January",4,"Thursday","19h-20h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681085,1249363,2020,1,"January",4,"Thursday","20h-21h"
